"STATION","NAME","DATE","TAVG"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-30","67"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-31","72"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-01","71"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-02","72"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-03","77"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-04","78"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-05","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-06","78"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-07","73"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-08","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-09","77"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-10","77"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-11","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-12","73"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-13","73"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-14","71"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-15","74"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-16","77"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-17","77"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-18","80"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-19","72"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-20","70"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-21","73"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-22","75"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-23","77"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-24","83"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-25","80"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-26","73"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-27","74"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-28","75"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-29","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-30","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-08-31","71"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-01","68"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-02","68"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-03","69"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-04","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-05","78"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-06","79"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-07","72"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-08","63"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-09","61"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-10","62"
